Identifiant;Chaine;startDate;DureeSecondes;TitreSujet;TitreEmission;TitreCollection;TitreTrancheHoraire;Chapeau;Descripteurs;Generique
405076_020_001;France 24;2013-06-14T07:00:10+01:00;94;Les titres;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_020_002;France 24;2013-06-14T07:01:44+01:00;306;Syrie - Les Etats-Unis affirment posséder la preuve de l'utilisation d'armes;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_020_003;France 24;2013-06-14T07:06:50+01:00;409;Iran - Les élections présidentielles ont lieu aujourd'hui 07;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_020_004;France 24;2013-06-14T07:13:39+01:00;163;Iran - Les élections présidentielles ont lieu aujourd'hui;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_020_005;France 24;2013-06-14T07:16:22+01:00;70;Turquie - Le premier Ministre Erdogan promet d'accepter la décision du Tribunal;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_020_006;France 24;2013-06-14T07:17:32+01:00;25;Tunisie - Un rappeur a été condamné à deux ans de prison ferme pour outrage a;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_020_007;France 24;2013-06-14T07:17:57+01:00;14;Tunisie - Des heurts ont eu lieu hier dans la région minière de;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_020_008;France 24;2013-06-14T07:18:11+01:00;60;Les titres;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_195_001;France 24;2013-06-14T07:19:23+01:00;119;[Discussions sur un accord de libre-échange entre l'Europe et les États-Unis];Journal de l'économie : [émission du 14 juin 2013];Journal de l'économie;;;;Landaburu, Kattalin (Journaliste)
405076_195_002;France 24;2013-06-14T07:21:22+01:00;65;[Pierre Gattaz assuré de devenir le patron du Medef];Journal de l'économie : [émission du 14 juin 2013];Journal de l'économie;;;;Gattaz, Pierre (Participant)
405076_195_003;France 24;2013-06-14T07:22:27+01:00;39;[Premier vol de l'airbus A350 à Toulouse];Journal de l'économie : [émission du 14 juin 2013];Journal de l'économie;;;;
405076_195_004;France 24;2013-06-14T07:23:06+01:00;24;[Les marchés financiers];Journal de l'économie : [émission du 14 juin 2013];Journal de l'économie;;;;
405076_043_001;France 24;2013-06-14T09:16:18+01:00;109;La France défend son exception culturelle avant l'ouverture de négociations sur;Journal de l'économie : [émission du 14 juin 2013];Journal de l'économie;;;;
405076_043_002;France 24;2013-06-14T09:18:07+01:00;35;L'Airbus A350 effectue ce matin son premier vol d'essai à l'aéroport de;Journal de l'économie : [émission du 14 juin 2013];Journal de l'économie;;;;
405076_043_003;France 24;2013-06-14T09:18:42+01:00;62;Les marchés financiers;Journal de l'économie : [émission du 14 juin 2013];Journal de l'économie;;;;
405076_043_004;France 24;2013-06-14T09:19:44+01:00;92;Aux Etats-Unis, la cour suprême estime que l'ADN humain ne peut faire l' objet;Journal de l'économie : [émission du 14 juin 2013];Journal de l'économie;;;;
405076_197_001;France 24;2013-06-14T09:47:52+01:00;292;Les Iraniens votent ce jour pour l'élection présidentielle ;[La crise économique en Iran];Focus;;;;
405076_061_001;France 24;2013-06-14T11:19:10+01:00;;[Sommaire en images];Sur le net : [émission du 14 juin 2013];Sur le net;;;;
405076_061_002;France 24;2013-06-14T11:19:40+01:00;;Photos de mastectomie : les internautes font plier facebook;Sur le net : [émission du 14 juin 2013];Sur le net;;;;
405076_061_003;France 24;2013-06-14T11:21:15+01:00;;Le cat fro, nouvelle tendance en vogue sur la toile;Sur le net : [émission du 14 juin 2013];Sur le net;;;;
405076_061_004;France 24;2013-06-14T11:22:37+01:00;;Une version française de pinterest;Sur le net : [émission du 14 juin 2013];Sur le net;;;;
405076_061_005;France 24;2013-06-14T11:23:01+01:00;;Tendance du jour sur les réseaux sociaux;Sur le net : [émission du 14 juin 2013];Sur le net;;;;
405076_061_006;France 24;2013-06-14T11:23:34+01:00;;La vidéo du jour;Sur le net : [émission du 14 juin 2013];Sur le net;;;;
405076_199_002;France 24;2013-06-14T17:16:08+01:00;282;[Plateau invité : Ulysse Gry : 1ère partie];Culture : [émission du 14 juin 2013];Culture;;;;
405076_199_003;France 24;2013-06-14T17:21:09+01:00;173;Le vidéo mapping : la technique qui révolutionne les spectacles de son et lumière;Culture : [émission du 14 juin 2013];Culture;;;technologie|projection|monument|image de synthèse;Zouioueche, Abdel (Journaliste)
405076_199_004;France 24;2013-06-14T17:23:37+01:00;15;[Plateau invité : Ulysse Gry : 2ème partie];Culture : [émission du 14 juin 2013];Culture;;;;
405076_199_005;France 24;2013-06-14T17:24:15+01:00;220;[Festival du film d'animation d'Annecy];Culture : [émission du 14 juin 2013];Culture;;;Annecy|animation|festival|dessin animé;Tsanga Tabi, Vanessa (Journaliste)|Jean, Marcel (Participant)|Palacios, Bernard (Participant)
405076_108_001;France 24;2013-06-14T18:00:19+01:00;52;[Plateau début];Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_108_002;France 24;2013-06-14T18:01:11+01:00;300;[Election présidentielle en Iran];Le journal : [émission du 14 juin 2013];Le journal;;;Iran|Téhéran|politique intérieure|élection présidentielle|opposition|manifestation|répression|Ahmadinejad, Mahmoud;Bourgaux, Pascale (Journaliste)|Mariotti, Antoine (Journaliste)
405076_108_003;France 24;2013-06-14T18:06:11+01:00;100;[La Syrie accuse les Etats-Unis de mensonges quant à l'utilisation d'armes chimiques];Le journal : [émission du 14 juin 2013];Le journal;;;Syrie|Etats Unis|conflit|armée|arme chimique|contamination|victime|manifestation pathologique;Galluccio, Cécile (Journaliste)
405076_108_004;France 24;2013-06-14T18:07:51+01:00;23;[Turquie : le Premier ministre appelle à la fin des manifestations];Le journal : [émission du 14 juin 2013];Le journal;;;Turquie|Istanbul|place|politique intérieure|crise politique|révolte|manifestation|Erdogan, Recep Tayyip;
405076_108_005;France 24;2013-06-14T18:08:14+01:00;27;[Grèce : les employés de la radiotélévision occupent leurs locaux];Le journal : [émission du 14 juin 2013];Le journal;;;Grèce|crise économique|service public|entreprise publique|télévision|radio|émetteur|Samaras, Antonis;
405076_108_006;France 24;2013-06-14T18:08:41+01:00;118;[Premier vol d'essai de l'A350 à Toulouse];Le journal : [émission du 14 juin 2013];Le journal;;;Toulouse|aéroport|construction aéronautique|coopération technique|Airbus Industrie|avion|vol-aviation;Bonnichon, Claire (Journaliste)|Enders, Thomas (Participant)|Leahy, John (Participant)
405076_108_007;France 24;2013-06-14T18:10:39+01:00;27;[L'Europe et les Etats-Unis veulent signer un accord de libre échange];Le journal : [émission du 14 juin 2013];Le journal;;;Union européenne|Etats Unis|relations économiques|accord économique|restriction;
405076_108_008;France 24;2013-06-14T18:11:06+01:00;123;[Rapport Moreau sur la réforme des retraites];Le journal : [émission du 14 juin 2013];Le journal;;;politique sociale|secteur public|secteur privé|retraite|réforme|temps de travail|syndicat|négociation|âge|rapport;Gasparutto, Julien (Journaliste)|Ayrault, Jean Marc (Participant)|Mailly, Jean Claude (Participant)
405076_108_009;France 24;2013-06-14T18:13:09+01:00;25;[Ouverture d'une enquête préliminaire concernant Claude Guéant];Le journal : [émission du 14 juin 2013];Le journal;;;scandale politique|scandale financier|instruction judiciaire|prime|ministère|Guéant, Claude;
405076_111_001;France 24;2013-06-14T18:30:23+01:00;50;Titres;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_111_002;France 24;2013-06-14T18:31:13+01:00;301;Iran, présidentielles. 18:31:36  Commentaire Pascale Bourgaux;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_111_003;France 24;2013-06-14T18:36:14+01:00;102;Syrie : Damas accuse Washington de mensonges;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_111_004;France 24;2013-06-14T18:37:56+01:00;23;Turquie : le premier ministre lance un appel à la fin des manifestations;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_111_005;France 24;2013-06-14T18:38:19+01:00;25;Grève : les employés de la radio télévision publique poursuivent l' occupation;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_111_006;France 24;2013-06-14T18:38:44+01:00;119;A 350, Airbus : premier vol d'essai réussi à Toulouse;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_111_007;France 24;2013-06-14T18:40:43+01:00;27;Europe et Etats-Unis veulent signer un nouvel accord de libre échange;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_111_008;France 24;2013-06-14T18:41:10+01:00;122;Réforme des retraites : le rapport Moreau préconise un changement du calcul des;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_111_009;France 24;2013-06-14T18:43:12+01:00;27;Le parquet de Paris ouvre une enquête préliminaire sur les primes en liquide;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_200_002;France 24;2013-06-14T18:45:08+01:00;197;Financement illégal de campagne : une députée UMP mise en cause;Une semaine en France : [émission du 14 juin 2013];Une semaine en France;;;Alpes Maritimes|Cannet|Espagne|scandale financier|scandale politique|corruption|escroquerie|UMP-France|campagne électorale|financement|Tabarot, Michèle;Dansette, Christophe (Journaliste)|Percept, Adeline (Journaliste)
405076_200_003;France 24;2013-06-14T18:47:52+01:00;30;[Plateau brève : mise en examen de Stéphane Richard dans l'affaire Tapie Crédit Lyonnais];Une semaine en France : [émission du 14 juin 2013];Une semaine en France;;;;
405076_200_004;France 24;2013-06-14T18:48:46+01:00;146;Affaire du Furosémide : quelle est la chaîne de production des médicaments ?;Une semaine en France : [émission du 14 juin 2013];Une semaine en France;;;santé publique|industrie pharmaceutique|laboratoire|médicament|conditionnement|erreur|ANSM;Tsanga Tabi, Vanessa (Journaliste)|Roche, Erick (Participant)
405076_200_005;France 24;2013-06-14T18:50:49+01:00;21;[Plateau brève : succès du premier vol test de l'Airbus A 350 à Toulouse Blagnac];Une semaine en France : [émission du 14 juin 2013];Une semaine en France;;;;
405076_200_006;France 24;2013-06-14T18:51:27+01:00;112;[Le coût du baccalauréat];Une semaine en France : [émission du 14 juin 2013];Une semaine en France;;;Education nationale|enseignement secondaire|baccalauréat|préparatifs|examen|dépense;Ponsinet, Anne (Journaliste)|Tournier, Philippe (Participant)|Peillon, Vincent (Participant)
405076_200_007;France 24;2013-06-14T18:53:04+01:00;140;[Cinema paradiso : le drive-in géant ouvre ses portes au Grand Palais];Une semaine en France : [émission du 14 juin 2013];Une semaine en France;;;;
405076_115_001;France 24;2013-06-14T19:00:04+01:00;55;Les titres;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_115_002;France 24;2013-06-14T19:00:59+01:00;97;Iran. Election présidentielle. 6 candidats étaient en lisse;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_115_003;France 24;2013-06-14T19:02:36+01:00;101;Syrie. Damas accuse Washington de mensonge;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_115_004;France 24;2013-06-14T19:04:17+01:00;22;Turquie. Le premier ministre lance à nouveau un nouvel appel à la fin des;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_115_005;France 24;2013-06-14T19:04:39+01:00;122;Décollage et atterrissage réussi pour l'A350, le nouveau gros porteur d' Airbus;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_115_006;France 24;2013-06-14T19:06:41+01:00;29;L'Europe et les USA souhaitent signer un nouvel accord de libre échange;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_115_007;France 24;2013-06-14T19:07:10+01:00;124;Réforme des retraites. Remise aujourd'hui du rapport Moreau;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_115_008;France 24;2013-06-14T19:09:14+01:00;22;Affaire des primes liquides perçues par Claude Guéant;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_121_001;France 24;2013-06-14T20:00:58+01:00;36;Les titres;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_121_002;France 24;2013-06-14T20:01:34+01:00;142;En Iran, les électeurs étaient appelés aux urnes pour désigner le nouveau;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_121_003;France 24;2013-06-14T20:03:56+01:00;103;Les Etats-Unis confirment l'utilisation d'armes chimiques en Syrie et;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_121_004;France 24;2013-06-14T20:05:39+01:00;39;Le Hezbollah libanais va rester impliqué dans le conflit en Syrie;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_121_005;France 24;2013-06-14T20:06:18+01:00;21;En Turquie, le premier ministre Recep Tayyip Erdogan appelle les manifestants à;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_121_006;France 24;2013-06-14T20:06:39+01:00;30;Les ministres européens du Commerce sont réunis au Luxembourg;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_121_007;France 24;2013-06-14T20:07:09+01:00;49;Le rappel des titres;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_122_001;France 24;2013-06-14T20:08:03+01:00;63;Le point sur les résultats dans les tournois de tennis de Halle;Sports : [émission du 14 juin 2013];Sports;;;;
405076_122_002;France 24;2013-06-14T20:09:06+01:00;64;En finale NBA, Miami égalise à 2-2 à San Antonio;Sports : [émission du 14 juin 2013];Sports;;;;Parker, Tony (Participant)
405076_122_003;France 24;2013-06-14T20:10:10+01:00;67;Une semaine après la défaite contre la Nouvelle Zélande;Sports : [émission du 14 juin 2013];Sports;;;;Hansen, Steve (Participant)
405076_122_004;France 24;2013-06-14T20:11:17+01:00;22;Manuel Pellegrini est le nouveau coach de Manchester City;Sports : [émission du 14 juin 2013];Sports;;;;
405076_122_005;France 24;2013-06-14T20:11:39+01:00;40;La Coupe des Confédérations débute par Italie - Japon;Sports : [émission du 14 juin 2013];Sports;;;;
405076_201_001;France 24;2013-06-14T20:12:17+01:00;171;L'Airbus A350 a effectué son 1er vol de l'aéroport Toulouse Blagnac;Economie : [émission du 14 juin 2013];Economie;;;;
405076_201_002;France 24;2013-06-14T20:15:08+01:00;105;La France refuse que la culture soit incluse dans les accords de libre-échange;Economie : [émission du 14 juin 2013];Economie;;;;
405076_201_003;France 24;2013-06-14T20:16:53+01:00;48;L'emploi atteint un plus bas depuis huit ans en zone euro;Economie : [émission du 14 juin 2013];Economie;;;;
405076_201_004;France 24;2013-06-14T20:17:41+01:00;126;Réforme des retraites: Le rapport Moreau a été remis au gouvernement;Economie : [émission du 14 juin 2013];Economie;;;;
405076_201_005;France 24;2013-06-14T20:19:47+01:00;53;François Hollande a annoncé la réunion du conseil d'administration d'Orange;Economie : [émission du 14 juin 2013];Economie;;;;
405076_201_006;France 24;2013-06-14T20:20:40+01:00;17;Bourse;Economie : [émission du 14 juin 2013];Economie;;;;
405076_201_007;France 24;2013-06-14T20:20:57+01:00;44;Ouganda: Le mobile banking sera bientôt taxer;Economie : [émission du 14 juin 2013];Economie;;;;
405076_201_008;France 24;2013-06-14T20:21:41+01:00;28;Tunnel sous la Manche: L'Eurostar va être concurrencé par la Deutsche Bahn;Economie : [émission du 14 juin 2013];Economie;;;;
405076_131_001;France 24;2013-06-14T21:00:13+01:00;52;Les titres;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_131_002;France 24;2013-06-14T21:01:05+01:00;198;Iran - élections présidentielles ce jour 21;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_131_003;France 24;2013-06-14T21:04:23+01:00;188;Syrie - les Etats-Unis affirment que le régime a utilisé des armes chimiques;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_131_004;France 24;2013-06-14T21:07:31+01:00;111;Turquie - le premier ministre souhaite la fin de l'occupation du parc Gezi d';Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_131_005;France 24;2013-06-14T21:09:22+01:00;19;Afrique du Sud - Nelson Mandela est toujours hospitalisé à Pretoria;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_131_006;France 24;2013-06-14T21:09:41+01:00;366;Vol d'essai réussi pour l'A350 d'Airbus à Toulouse Blagnac 21;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_131_007;France 24;2013-06-14T21:15:47+01:00;121;Réforme des retraites : le rapport de la commission Moreau a été remis à;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_131_008;France 24;2013-06-14T21:17:48+01:00;101;Diner en blanc hier au pied de la Pyramide du Louvre 21;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_131_009;France 24;2013-06-14T21:19:29+01:00;43;Les titres;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_131_010;France 24;2013-06-14T21:20:12+01:00;198;"""Un oeil sur les médias"" de Karim Yahiaoui - soutien à la télévision grecque";Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_131_011;France 24;2013-06-14T21:23:30+01:00;102;"""Un oeil sur les médias"" de Karim Yahiaoui - Tunisie ";Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_131_012;France 24;2013-06-14T21:25:12+01:00;65;"""Un oeil sur les médias"" de Karim Yahiaoui - classement Forbes des pays les";Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_131_013;France 24;2013-06-14T21:26:17+01:00;241;Evènement d'antenne;Le journal : [émission du 14 juin 2013];Le journal;;;;
405076_202_001;France 24;2013-06-14T22:16:09+01:00;170;[Premier vol d'essai pour l'A350];Journal de l'économie : [émission du 14 juin 2013];Journal de l'économie;;;;Bonnichon, Claire (Journaliste)|Enders, Thomas (Participant)|Leahy, John (Participant)
405076_202_002;France 24;2013-06-14T22:18:59+01:00;95;[Accord de libre échange entre les Etats-Unis et l'Union européenne : l'exception culturelle];Journal de l'économie : [émission du 14 juin 2013];Journal de l'économie;;;;
405076_202_003;France 24;2013-06-14T22:20:34+01:00;42;[Les chiffres de l'emploi dans la zone euro];Journal de l'économie : [émission du 14 juin 2013];Journal de l'économie;;;;
405076_202_004;France 24;2013-06-14T22:21:16+01:00;120;[Le rapport Moreau sur les retraites];Journal de l'économie : [émission du 14 juin 2013];Journal de l'économie;;;;Laederich, Georges (Journaliste)|Ayrault, Jean Marc (Participant)
405076_202_005;France 24;2013-06-14T22:23:16+01:00;29;[Les marchés boursiers];Journal de l'économie : [émission du 14 juin 2013];Journal de l'économie;;;;
